loan_id,applicant_age,marriage,education,job_tenure_months,monthly_income_cny,company_age_years,industry_l1,scale,region,current_ratio,debt_ratio,roe,revenue_yoy,net_margin,loan_amount_wan,term_months,rate_pct,collateral_type,purpose,credit_score,past_overdue_count_1y,current_overdue_count,guarantee_times_1y,query_times_3m,bank_balance_stddev_3m,large_debit_count_1m,cross_province_count_1m,days_past_due
L000001,49,已婚,高中及以下,67,19031,21.2,建筑业,小型,西南,1.13,0.74,9.11,-6.01,4.23,313.98,9,6.61,保证,原材料采购,635,0,0,1,3,0.32,2,4,20
L000002,34,未婚,高中及以下,127,24408,2.9,制造业,小型,华南,2.06,0.42,14.20,14.25,11.56,607.26,60,3.79,保证,经营周转,817,0,0,1,0,0.13,2,2,0
L000003,24,离异,大专,161,48836,6.8,建筑业,中型,西南,2.79,0.25,10.37,23.62,17.16,1519.33,36,5.10,抵押,设备购置,863,0,0,0,5,0.10,0,0,0
L000004,46,未婚,大专,104,26101,28.3,租赁商服,小型,华北,3.27,0.46,21.07,13.50,12.99,400.50,9,7.39,信用,经营周转,728,0,0,0,6,0.15,0,1,0
L000005,55,离异,大专,35,9489,24.3,制造业,小型,西北,0.83,0.68,-0.36,-1.44,4.67,556.07,12,17.57,抵押,经营周转,581,5,2,2,7,0.45,6,10,58
L000006,50,离异,大专,61,5974,,,,华东,,,,,,20.99,36,17.08,抵押,消费,536,6,3,6,22,1.20,28,16,95
L000007,58,已婚,本科,71,5099,13.0,建筑业,中型,华北,0.89,0.99,-13.03,-15.91,-4.91,868.59,6,14.29,抵押,设备购置,530,3,2,4,8,0.52,15,11,46
L000008,37,已婚,大专,29,7026,2.2,批发零售,大型,华南,0.68,0.92,-5.90,-15.19,4.36,995.65,30,11.24,抵押,流动资金,603,5,0,1,15,0.70,4,3,65
L000009,26,未婚,本科,62,72100,18.0,住宿餐饮,小型,华东,2.67,0.38,23.89,10.11,20.18,553.50,24,5.33,信用,流动资金,712,0,0,0,0,0.19,0,0,0
L000010,45,已婚,大专,85,18580,,,,华南,,,,,,295.40,60,6.05,信用,经营周转,612,0,0,2,4,0.38,2,1,4
