client_id,company_name,industry_l1,industry_l2,region,scale,credit_line_wan,balance_wan,interest_rate,term_months,product,first_draw_date,last_review_date
AP001,明岚印染（中山市）有限公司,制造业,纺织服装,广东省中山市火炬,小型,700,440,6.70,36,经营性物业贷款,2025-01-20,2025-11-19
AP002,昌朗汽配（武汉市）有限公司,制造业,汽车零部件,湖北省武汉市东西湖,大型,4150,2450,5.04,24,专精特新贷,2023-08-28,2025-05-19
AP003,凯飞高分子（东莞市）有限公司,制造业,化工材料,广东省东莞市虎门,中型,3750,3400,4.75,24,供应链金融,2023-06-06,2025-12-19
AP004,润竹传动（佛山市）有限公司,制造业,精密机械,广东省佛山市三水,中型,3700,990,4.86,24,供应链金融,2025-06-12,2025-09-12
AP005,悦枫五金（常州市）集团有限公司,制造业,金属加工,江苏省常州市金坛,中型,3750,3420,4.67,12,流动资金贷款,2024-12-08,2025-04-04
AP006,澄炎连锁（无锡市）股份有限公司,零售,连锁零售,江苏省无锡市江阴,中型,4550,3350,6.13,24,银行承兑汇票,2024-01-14,2025-05-05
AP007,栎华化工（唐山市）股份有限公司,制造业,化工材料,河北省唐山市丰润,大型,4300,2990,4.32,12,流动资金贷款,2024-04-01,2026-03-14
AP008,寰宇传动（珠海市）有限公司,制造业,精密机械,广东省珠海市金湾,小型,30,15,5.86,24,流动资金贷款,2025-04-05,2025-04-09
AP009,寰宇家电（惠州市）股份有限公司,制造业,家电家居,广东省惠州市博罗,小型,280,240,6.00,36,经营性物业贷款,2023-07-23,2025-05-26
AP010,桢林百货贸易（佛山市）股份有限公司,贸易,消费品贸易,广东省佛山市南海,中型,4700,3760,4.76,12,流动资金贷款,2023-05-06,2026-01-05
AP011,耘骧跨境电商（无锡市）有限公司,贸易,跨境电商,江苏省无锡市宜兴,中型,550,250,6.21,12,流动资金贷款,2024-11-12,2025-10-22
AP012,旻辰家电（佛山市）有限公司,制造业,家电家居,广东省佛山市南海,中型,500,250,5.62,12,专精特新贷,2024-05-05,2025-04-21
AP013,灵犀软件（珠海市）有限公司,科技,软件信息,广东省珠海市香洲,中型,1650,790,5.46,12,流动资金贷款,2024-05-09,2025-12-08
AP014,卓岭中央厨房（常州市）有限公司,服务,餐饮连锁,江苏省常州市新北,小型,360,250,6.69,6,小微快贷,2025-02-25,2025-04-12
AP015,栎朗农产品合作联社（合肥市）,农业,农产品加工,安徽省合肥市肥西,小型,270,255,6.70,12,流动资金贷款,2025-09-01,2025-09-03
AP016,晖远便利（青岛市）有限公司,零售,连锁零售,山东省青岛市城阳,小型,480,330,6.61,60,经营性物业贷款,2024-07-19,2025-05-28
AP017,润竹自动化（大连市）有限公司,制造业,精密机械,辽宁省大连市瓦房店,中型,3500,3100,5.14,12,流动资金贷款,2025-03-13,2025-10-23
AP018,德赢食品（温州市）有限公司,制造业,食品饮料,浙江省温州市瑞安,中型,4450,3070,5.56,6,流动资金贷款,2023-08-12,2025-04-05
AP019,澄炎SaaS（青岛市）有限公司,科技,SaaS云服务,山东省青岛市城阳,小型,600,470,5.74,24,流动资金贷款,2024-03-18,2025-05-18
AP020,鸿新饮料（沈阳市）集团有限公司,制造业,食品饮料,辽宁省沈阳市于洪,大型,5350,2640,4.46,36,供应链金融,2024-02-07,2025-10-11
AP021,诚瑞专业零售（天津市）有限公司,零售,专业零售,天津市天津市滨海新区,中型,4900,4480,5.72,24,供应链金融,2024-04-02,2025-04-15
AP022,祥泓家居（南京市）有限公司,制造业,家电家居,江苏省南京市栖霞,小型,550,470,5.37,36,经营性物业贷款,2023-10-28,2025-11-21
AP023,安宥文旅（杭州市）有限公司,服务,商旅酒店,浙江省杭州市余杭,小型,440,290,6.12,12,小微快贷,2023-04-18,2025-09-07
AP024,璞遥生鲜（西安市）集团有限公司,零售,生鲜零售,陕西省西安市高陵,中型,2950,1690,5.83,12,流动资金贷款,2023-08-01,2026-02-20
AP025,简烁机械（无锡市）股份有限公司,制造业,精密机械,江苏省无锡市锡山,小型,600,390,6.49,12,流动资金贷款,2024-06-26,2025-06-12
AP026,卓岭智能（珠海市）股份有限公司,制造业,电子元件,广东省珠海市斗门,大型,9700,3520,4.35,24,银行承兑汇票,2024-05-11,2025-06-08
AP027,昌朗针织（无锡市）股份有限公司,制造业,纺织服装,江苏省无锡市锡山,中型,3650,3060,4.72,24,专精特新贷,2025-03-18,2025-04-28
AP028,祥泓数智合作联社（东莞市）,科技,物联网,广东省东莞市松山湖,中型,4750,3480,5.49,24,专精特新贷,2024-08-24,2026-02-27
AP029,鸿新注塑（南通市）集团有限公司,制造业,模具注塑,江苏省南通市如皋,大型,14000,8510,3.55,12,银行承兑汇票,2023-08-09,2025-04-11
AP030,寒川智能工程（惠州市）有限公司,建筑,专业工程,广东省惠州市仲恺,小型,500,370,7.07,24,银行承兑汇票,2025-03-15,2025-10-22
AP031,逸舟食品（中山市）有限公司,制造业,食品饮料,广东省中山市小榄,小型,50,25,7.35,12,小微快贷,2023-11-28,2025-06-06
AP032,瑄衍物流运输（西安市）有限公司,物流,公路运输,陕西省西安市鄠邑,大型,13350,6070,4.75,6,流动资金贷款,2024-08-22,2025-11-28
AP033,旻辰智联合作联社（中山市）,科技,物联网,广东省中山市古镇,中型,4150,3380,4.50,12,专精特新贷,2024-07-11,2026-03-25
AP034,霁清中央厨房合作联社（烟台市）,服务,餐饮连锁,山东省烟台市福山,小型,170,90,7.06,12,小微快贷,2023-10-21,2026-01-13
AP035,梓瀚传动合作联社（无锡市）,制造业,精密机械,江苏省无锡市宜兴,小型,700,180,6.48,12,流动资金贷款,2025-10-16,2025-04-19
AP036,璞遥恒温仓储合作联社（佛山市）,物流,冷链仓储,广东省佛山市三水,小型,750,380,6.73,60,融资租赁,2024-07-14,2025-05-02
AP037,恒茂机械（青岛市）有限公司,制造业,精密机械,山东省青岛市即墨,大型,12300,11030,4.29,12,流动资金贷款,2024-01-28,2025-07-13
AP038,祥泓教育（武汉市）有限公司,服务,职业教育,湖北省武汉市东西湖,中型,950,310,5.45,24,银行承兑汇票,2024-06-25,2025-09-11
AP039,康澜外贸（温州市）有限公司,贸易,跨境电商,浙江省温州市乐清,小型,460,320,6.65,12,国内信用证,2025-10-15,2025-12-01
AP040,安宥信息技术合作联社（深圳市）,科技,软件信息,广东省深圳市光明,小型,470,175,7.30,12,流动资金贷款,2023-11-05,2026-02-14
AP041,晟洁印染（郑州市）有限公司,制造业,纺织服装,河南省郑州市荥阳,小型,700,290,5.38,6,流动资金贷款,2024-12-19,2025-08-04
AP042,鸿新人力资源（沈阳市）有限公司,服务,企业服务,辽宁省沈阳市铁西,中型,2250,1130,5.01,12,供应链金融,2023-06-06,2026-01-28
AP043,广翀服饰（温州市）股份有限公司,制造业,纺织服装,浙江省温州市永嘉,小型,330,200,6.17,12,流动资金贷款,2024-08-06,2025-11-08
AP044,澄炎家纺（温州市）集团有限公司,制造业,家电家居,浙江省温州市瑞安,小型,750,550,6.39,60,经营性物业贷款,2025-03-08,2025-11-11
AP045,悦枫家纺（杭州市）股份有限公司,制造业,家电家居,浙江省杭州市余杭,小型,490,215,6.45,36,经营性物业贷款,2024-12-23,2025-08-02
AP046,逸舟烘焙合作联社（惠州市）,制造业,食品饮料,广东省惠州市惠阳,中型,1450,1400,4.61,24,专精特新贷,2024-11-11,2025-06-06
AP047,璟程机电（重庆市）有限公司,制造业,精密机械,重庆市重庆市北碚,中型,950,620,4.75,12,供应链金融,2023-07-13,2025-04-23
AP048,翊轩底盘（潍坊市）股份有限公司,制造业,汽车零部件,山东省潍坊市诸城,中型,1700,950,4.84,36,专精特新贷,2025-09-10,2025-07-08
AP049,雅岚食品合作联社（青岛市）,制造业,食品饮料,山东省青岛市城阳,中型,750,650,4.63,24,供应链金融,2024-06-17,2025-12-28
AP050,璟程教育（惠州市）股份有限公司,服务,职业教育,广东省惠州市仲恺,中型,2050,1380,4.58,24,供应链金融,2025-10-15,2025-07-13
AP051,栎华物流运输合作联社（佛山市）,物流,公路运输,广东省佛山市南海,中型,4150,3420,4.93,60,融资租赁,2025-07-02,2025-04-17
AP052,雅岚自动化（深圳市）股份有限公司,制造业,精密机械,广东省深圳市龙岗,中型,550,370,5.47,36,专精特新贷,2025-10-02,2025-05-14
AP053,润竹财税咨询合作联社（石家庄市）,服务,企业服务,河北省石家庄市高邑,中型,4200,3680,4.57,24,流动资金贷款,2025-03-08,2025-05-07
AP054,沐川汽车零部件（常州市）有限公司,制造业,汽车零部件,江苏省常州市新北,中型,2050,1230,5.61,24,供应链金融,2024-09-01,2026-03-15
AP055,德赢信息科技合作联社（唐山市）,科技,软件信息,河北省唐山市迁西,中型,2000,1270,4.35,12,流动资金贷款,2025-10-02,2025-11-06
AP056,晨曦铝材（广州市）集团有限公司,制造业,金属加工,广东省广州市番禺,中型,1550,860,6.34,12,流动资金贷款,2024-02-02,2025-09-13
AP057,霁清车队运输（武汉市）股份有限公司,物流,公路运输,湖北省武汉市蔡甸,中型,1350,720,4.80,12,供应链金融,2025-10-03,2025-07-21
AP058,旻辰仓储配送（佛山市）有限公司,物流,冷链仓储,广东省佛山市顺德,中型,2450,2020,5.66,24,供应链金融,2024-03-01,2025-05-21
AP059,云渚信息技术（郑州市）有限公司,科技,软件信息,河南省郑州市中原,大型,14150,9880,4.85,12,流动资金贷款,2024-09-13,2026-02-16
AP060,致远冷链（温州市）股份有限公司,物流,冷链仓储,浙江省温州市瑞安,小型,440,355,5.26,24,供应链金融,2024-10-28,2025-04-10
AP061,凌霄化工（南京市）集团有限公司,制造业,化工材料,江苏省南京市栖霞,中型,1700,910,4.88,12,专精特新贷,2025-08-14,2025-04-04
AP062,恒茂金属（深圳市）股份有限公司,制造业,金属加工,广东省深圳市龙岗,中型,2850,1420,5.09,24,专精特新贷,2024-05-18,2026-01-05
AP063,森岩家电（烟台市）集团有限公司,制造业,家电家居,山东省烟台市莱山,小型,200,75,6.67,12,小微快贷,2025-01-16,2025-09-26
AP064,瑞尧纺织（中山市）有限公司,制造业,纺织服装,广东省中山市小榄,中型,2450,2110,4.39,36,供应链金融,2024-10-07,2025-04-11
AP065,雅岚烘焙（温州市）有限公司,制造业,食品饮料,浙江省温州市乐清,中型,4050,2880,5.46,12,银行承兑汇票,2023-12-16,2026-03-18
AP066,瑞尧日用品贸易（石家庄市）有限公司,贸易,消费品贸易,河北省石家庄市高邑,小型,140,95,6.45,36,供应链金融,2025-08-24,2025-09-01
AP067,熹诚微创器械（郑州市）集团有限公司,制造业,医疗器械,河南省郑州市中原,大型,3650,1980,5.06,36,专精特新贷,2024-04-17,2026-03-15
AP068,融创电子（天津市）集团有限公司,制造业,电子元件,天津市天津市北辰,中型,1650,800,5.90,36,供应链金融,2024-06-15,2025-05-27
AP069,熹诚粮油（东莞市）股份有限公司,农业,农产品加工,广东省东莞市塘厦,小型,230,210,5.95,36,经营性物业贷款,2023-11-18,2025-08-13
AP070,桢林家纺合作联社（北京市）,制造业,家电家居,北京市北京市大兴,小型,550,160,5.43,24,流动资金贷款,2024-08-02,2026-03-15
AP071,晟洁传动合作联社（烟台市）,制造业,精密机械,山东省烟台市莱山,小型,160,120,6.71,24,流动资金贷款,2024-01-09,2025-08-17
AP072,启航工程（北京市）股份有限公司,建筑,专业工程,北京市北京市通州,大型,15600,4280,3.86,60,经营性物业贷款,2025-01-11,2025-06-08
AP073,诚瑞装饰材料（南京市）集团有限公司,建筑,建材供应,江苏省南京市栖霞,小型,140,100,5.52,24,流动资金贷款,2025-10-17,2025-05-26
AP074,晟洁零售连锁（常州市）集团有限公司,零售,连锁零售,江苏省常州市金坛,大型,13000,7250,3.92,12,专精特新贷,2023-12-06,2026-01-04
AP075,煜晟汽配（中山市）有限公司,制造业,汽车零部件,广东省中山市小榄,中型,3550,1750,4.55,36,供应链金融,2023-05-04,2025-08-02
AP076,逸舟职业培训（合肥市）有限公司,服务,职业教育,安徽省合肥市包河,小型,490,310,6.37,12,小微快贷,2023-11-14,2025-09-15
AP077,延予商贸（南通市）股份有限公司,贸易,消费品贸易,江苏省南通市海门,小型,400,325,7.34,24,应收账款保理,2023-06-21,2025-07-05
AP078,邦彦物流运输（合肥市）股份有限公司,物流,公路运输,安徽省合肥市包河,中型,4800,3330,4.70,60,融资租赁,2023-11-16,2025-10-20
