company_name,industry,sub_industry,region,scale,revenue_latest,keywords,qualifications,tags
宁波华联轴承有限公司,制造业,轴承制造,浙江省宁波市,小型,4800万,"精密,轴承,机械","国家高新技术企业,专精特新小巨人","制造业,专精特新,发明专利"
绍兴振华精密机械有限公司,制造业,精密机械,浙江省绍兴市,小型,5200万,"精密机械,数控","国家高新技术企业","制造业,高新技术"
温州永达阀门制造有限公司,制造业,阀门管件,浙江省温州市,小型,3400万,"阀门,管件,工业","","制造业"
杭州天成模具有限公司,制造业,模具制造,浙江省杭州市,小型,3900万,"模具,精密,注塑","国家高新技术企业","制造业,高新技术"
台州瑞丰机电有限公司,制造业,机电,浙江省台州市,微型,2200万,"机电,电机","","制造业"
宁波海天机械有限公司,制造业,通用机械,浙江省宁波市,小型,4600万,"机械,加工","国家高新技术企业","制造业"
嘉兴天工电子有限公司,制造业,电子元器件,浙江省嘉兴市,小型,5100万,"电子,连接器,专精特新","国家高新技术企业,专精特新小巨人","制造业,电子,专精特新"
金华天诚模具有限公司,制造业,模具制造,浙江省金华市,微型,2100万,"模具","","制造业"
湖州绿源节能有限公司,环保,节能设备,浙江省湖州市,小型,3300万,"节能,环保","国家高新技术企业","环保,高新技术"
衢州正大精密铸造有限公司,制造业,铸造,浙江省衢州市,小型,3100万,"铸造,精密","","制造业"
舟山远大船舶配件有限公司,制造业,船舶配件,浙江省舟山市,小型,3800万,"船舶,配件","","制造业,船舶"
丽水华光电子有限公司,制造业,电子,浙江省丽水市,微型,1800万,"电子,PCB","","制造业"
苏州锐锋新材料有限公司,制造业,新材料,江苏省苏州市,小型,4800万,"新材料,复合材料,专精特新","国家高新技术企业,专精特新小巨人","新材料,专精特新,发明专利"
常州恒泰精密模具有限公司,制造业,模具制造,江苏省常州市,小型,3900万,"模具,精密","国家高新技术企业","制造业,高新技术"
无锡晶华半导体装备有限公司,制造业,半导体装备,江苏省无锡市,中型,12000万,"半导体,装备,专精特新","国家高新技术企业,专精特新小巨人","半导体,专精特新"
南通恒盛精密机械有限公司,制造业,精密机械,江苏省南通市,小型,4300万,"精密机械,零部件","国家高新技术企业","制造业,高新技术"
泰州华信电气有限公司,制造业,电气设备,江苏省泰州市,小型,3700万,"电气,变压器","","制造业"
徐州华能机械有限公司,制造业,工程机械,江苏省徐州市,中型,9800万,"工程机械","国家高新技术企业","制造业,高新技术"
盐城海润汽车零部件有限公司,制造业,汽车零部件,江苏省盐城市,小型,4500万,"汽车零部件,冲压","","制造业,汽车"
镇江天成精密铸造有限公司,制造业,铸造,江苏省镇江市,小型,3200万,"精密铸造","","制造业"
上海精诚齿轮有限公司,制造业,齿轮制造,上海市嘉定区,小型,4200万,"齿轮,传动,精密","国家高新技术企业","制造业,高新技术"
上海新泰精密仪器有限公司,制造业,精密仪器,上海市浦东新区,小型,5300万,"精密仪器,计量","国家高新技术企业,专精特新小巨人","制造业,专精特新"
上海海拓半导体材料有限公司,制造业,半导体材料,上海市松江区,小型,5900万,"半导体,靶材,专精特新","国家高新技术企业,专精特新小巨人","制造业,半导体,专精特新"
南京紫金新材料科技有限公司,制造业,新材料,江苏省南京市,小型,4100万,"新材料,纳米,专精特新","国家高新技术企业,专精特新小巨人","新材料,专精特新,发明专利"
扬州中电精密电子有限公司,制造业,电子,江苏省扬州市,小型,3600万,"电子,PCB","","制造业"
杭州钱塘精工有限公司,制造业,精密加工,浙江省杭州市,小型,5500万,"精密加工,CNC,专精特新","国家高新技术企业,专精特新小巨人","制造业,专精特新,发明专利"
宁波北仑智造有限公司,制造业,智能装备,浙江省宁波市,小型,6000万,"智能制造,自动化","国家高新技术企业,专精特新小巨人","制造业,智能制造,专精特新"
绍兴柯桥精密传动有限公司,制造业,传动设备,浙江省绍兴市,小型,4300万,"传动,减速机","国家高新技术企业","制造业,高新技术"
温州瑞安精密阀门有限公司,制造业,阀门管件,浙江省温州市,小型,3500万,"阀门,精密","","制造业"
台州黄岩精密模塑有限公司,制造业,模具,浙江省台州市,小型,3300万,"模具,塑料","","制造业"
