company_name,industry,sub_industry,region,scale,revenue_latest,keywords,qualifications,tags
深圳芯动力半导体有限公司,信息技术,集成电路,广东省深圳市南山区,小型,5800万,"芯片,IC,半导体","国家高新技术企业,专精特新小巨人","信息技术,半导体,专精特新,发明专利"
深圳云图AI科技有限公司,信息技术,人工智能,广东省深圳市南山区,小型,5200万,"AI,机器视觉,算法","国家高新技术企业","信息技术,人工智能,高新技术,融资轮次A+"
深圳新锐芯科技有限公司,信息技术,集成电路,广东省深圳市南山区,小型,6500万,"芯片设计,射频","国家高新技术企业,专精特新小巨人","信息技术,半导体,专精特新"
深圳启明星软件有限公司,信息技术,软件开发,广东省深圳市福田区,小型,4200万,"SaaS,企业软件,云","国家高新技术企业","信息技术,软件,高新技术"
深圳锐思生物医药有限公司,生物医药,创新药,广东省深圳市坪山区,小型,4500万,"创新药,生物医药","国家高新技术企业,专精特新小巨人","生物医药,专精特新,发明专利"
深圳宏图医疗器械有限公司,生物医药,医疗器械,广东省深圳市宝安区,小型,5300万,"医疗器械,监护","国家高新技术企业,专精特新小巨人","生物医药,专精特新"
深圳前海智联技术有限公司,信息技术,物联网,广东省深圳市前海,小型,4800万,"IoT,物联网","国家高新技术企业","信息技术,物联网,高新技术,融资轮次A+"
深圳龙华精密光学有限公司,制造业,光学,广东省深圳市龙华区,小型,5100万,"光学,镜头","国家高新技术企业,专精特新小巨人","制造业,光学,专精特新,发明专利"
上海浦东云栈科技有限公司,信息技术,云计算,上海市浦东新区,中型,12000万,"云计算,SaaS","国家高新技术企业","信息技术,云计算,高新技术"
上海智联软件技术有限公司,信息技术,企业软件,上海市浦东新区,中型,15000万,"SaaS,ERP","国家高新技术企业,双软认证","信息技术,软件,高新技术"
上海华晟生物医药有限公司,生物医药,创新药,上海市张江,小型,3800万,"创新药,生物医药","国家高新技术企业,专精特新小巨人","生物医药,专精特新,发明专利,融资轮次A+"
上海博科生物技术有限公司,生物医药,IVD诊断,上海市浦东新区,小型,5300万,"IVD,诊断,试剂","国家高新技术企业,专精特新小巨人","生物医药,专精特新"
上海星辰智能汽车有限公司,信息技术,智能驾驶,上海市嘉定区,小型,6800万,"自动驾驶,智能网联","国家高新技术企业,专精特新小巨人","信息技术,车联网,专精特新,融资轮次A+"
上海芯联半导体有限公司,制造业,半导体,上海市闵行区,小型,7200万,"半导体,晶圆","国家高新技术企业,专精特新小巨人","制造业,半导体,专精特新,发明专利"
上海博联工业软件有限公司,信息技术,工业软件,上海市徐汇区,小型,4600万,"工业软件,CAD,MES","国家高新技术企业,专精特新小巨人","信息技术,工业软件,专精特新"
苏州云栈工业软件有限公司,信息技术,工业软件,江苏省苏州市,小型,4100万,"MES,工业软件","国家高新技术企业,专精特新小巨人","信息技术,工业软件,专精特新"
苏州锐思AI有限公司,信息技术,人工智能,江苏省苏州市,小型,5000万,"AI,NLP","国家高新技术企业","信息技术,人工智能,高新技术,融资轮次A+"
苏州天成半导体有限公司,制造业,半导体,江苏省苏州市,小型,6300万,"半导体,封装","国家高新技术企业,专精特新小巨人","制造业,半导体,专精特新"
苏州百年健康科技有限公司,生物医药,医疗器械,江苏省苏州市,小型,4500万,"医疗器械,高值耗材","国家高新技术企业,专精特新小巨人","生物医药,专精特新,高新技术"
苏州晶创精密光学有限公司,制造业,光学仪器,江苏省苏州市,小型,4600万,"光学,镜头,精密","国家高新技术企业,专精特新小巨人","制造业,光学,专精特新,发明专利"
杭州数据港信息技术有限公司,信息技术,大数据,浙江省杭州市,小型,5500万,"大数据,数据服务","国家高新技术企业","信息技术,大数据,高新技术"
杭州启明智能网联有限公司,信息技术,车联网,浙江省杭州市,小型,5600万,"车联网,智能网联","国家高新技术企业,专精特新小巨人","信息技术,车联网,专精特新,融资轮次A+"
杭州未来医学AI有限公司,生物医药,医疗AI,浙江省杭州市,小型,4200万,"医疗AI,影像","国家高新技术企业,专精特新小巨人","生物医药,人工智能,专精特新,融资轮次A+"
北京云智AI技术有限公司,信息技术,人工智能,北京市海淀区,小型,4800万,"AI,大模型","国家高新技术企业,专精特新小巨人","信息技术,人工智能,专精特新,融资轮次A+"
北京未来医疗AI有限公司,生物医药,医疗AI,北京市海淀区,小型,4400万,"医疗AI,影像,诊断","国家高新技术企业,专精特新小巨人","生物医药,人工智能,专精特新,融资轮次A+"
